ID_GPS	Fecha	Xlocal	Ylocal	X	Y	Altura elipsoidal	id_suelo_raiz	Nº	Marco	COD	GLUC	FOSF	N	P	K	C	pH	COND	Arena	Limo	Arcilla
GPS0174	10/07/2016 9:50	488510,9512	4457839,641	5,6797	5,4795	763,4987	S73	73	Fino	F15	0,273011551	0,443184564	0,600917197	0,102864500	0,010291223	0,943922480	8,27	80,7	36,21153205	53,29185646	10,49661149
GPS0175	10/07/2016 9:50	488510,7395	4457839,477	5,468	5,3149	763,4952	S74	74	Fino	F16	0,204718075	0,449821084	0,806799645	0,143279316	0,009698783	0,912196032	8,22	81,2	30,75299398	58,43202169	10,81498434
GPS0176	10/07/2016 9:51	488510,5314	4457839,359	5,2599	5,197	763,4513	S75	75	Fino	F17	0,849431012	0,354015763	0,706385871	0,154041720	0,009772348	1,094421122	8,17	83,3	37,77067093	51,66122549	10,56810358
GPS0177	10/07/2016 9:51	488510,3371	4457839,211	5,0656	5,049099999	763,4602	S76	76	Fino	F18	0,927134934	0,754507184	0,852919254	0,141419322	0,011189561	1,242094653	8,20	69,8	41,24767019	49,7437206	9,008609213
GPS0190	10/07/2016 9:56	488507,27	4457837,209	1,9985	3,0472	763,2725	S77	77	Borde	B17	1,166156942	0,468788076	1,349311472	0,174096081	0,007218289	1,533843172	8,21	65,9	32,29121532	55,85885856	11,84992612
GPS0178	10/07/2016 9:51	488511,0829	4457839,431	5,8114	5,2695	763,5761	S78	78	Fino	F19	0,650094912	0,692681492	0,240307779	0,025309375	0,012666491	1,038126182	8,19	77,4	39,80232106	50,19934477	9,998334166
GPS0179	10/07/2016 9:51	488510,8873	4457839,304	5,6158	5,1425	763,5557	S79	79	Fino	F20	0,830326564	0,575342469	0,711650662	0,115186300	0,011106769	1,012231022	8,14	69,8	38,05222332	52,83477412	9,113002563
GPS0180	10/07/2016 9:52	488510,667	4457839,163	5,3955	5,0015	763,5406	S80	80	Fino	F21	0,636516492	0,424600569	0,586179693	0,111888956	0,009267125	1,123326158	8,23	74,6	38,39234152	50,59082226	11,01683621
GPS0181	10/07/2016 9:53	488513,8854	4457840,989	8,6139	6,8268	763,7535	S81	81	Regular	R33	0,454776523	0,632459056	0,911448519	0,157332312	0,010947683	1,073574888	8,30	77,2	36,40523311	52,0146154	11,58015148
GPS0182	10/07/2016 9:53	488513,0667	4457840,447	7,7952	6,2854	763,7296	S82	82	Regular	R34	0,515078736	0,495387919	0,672589515	0,146275539	0,011311208	1,130588963	8,17	79,6	40,70776813	46,19252714	13,09970473
GPS0183	10/07/2016 9:54	488512,2976	4457839,915	7,0261	5,7531	763,6864	S83	83	Regular	R35	0,388426311	0,557517875	0,647094764	0,148907765	0,009522084	0,831970378	8,24	72,6	38,08048504	50,45861372	11,46090124
GPS0184	10/07/2016 9:54	488511,4988	4457839,404	6,2273	5,2418	763,6895	S84	84	Regular	R36	0,665216793	0,404997073	0,480969673	0,094563384	0,012502257	0,875337944	8,23	78,0	36,86799156	52,61130232	10,52070612
GPS0185	10/07/2016 9:54	488511,023	4457839,094	5,7515	4,9319	763,6784	S85	85	Fino	F22	1,110197293	0,772895288	0,889446522	0,174853027	0,013265138	1,136794240	8,15	85,9	42,55605182	48,84563251	8,598315668
GPS0186	10/07/2016 9:55	488510,512	4457838,778	5,2405	4,6161	763,6436	S86	86	Regular	R37	0,551554217	0,416786773	0,721934205	0,127665925	0,011596589	0,919556791	8,26	80,9	43,04756404	47,54848599	9,40394997
GPS0187	10/07/2016 9:55	488509,8106	4457838,26	4,5391	4,0987	763,5792	S87	87	Regular	R38	0,913571536	0,692955123	0,812124012	0,075019325	0,009808470	1,580270692	8,15	98,2	40,67495362	46,75686784	12,56817854
GPS0188	10/07/2016 9:55	488508,9748	4457837,723	3,7033	3,5613	763,5321	S88	88	Regular	R39	0,968476671	0,478545432	0,577270665	0,075465816	0,009984479	1,180135441	8,12	96,9	41,26434101	49,58962227	9,146036717
GPS0189	10/07/2016 9:56	488508,1475	4457837,179	2,876	3,0175	763,488	S89	89	Regular	R40	1,016653398	0,344166092	0,924281927	0,145340814	0,010626880	1,427276184	8,21	86,9	42,42097781	47,66543015	9,913592039
GPS0200	10/07/2016 10:00	488514,6182	4457840,856	9,3467	6,6941	763,9651	S90	90	Borde	B18	0,531498485	0,475975278	0,312046381	0,052820027	0,010412239	1,215657975	8,21	81,6	38,21506738	50,2905265	11,49440611
GPS0191	10/07/2016 9:56	488507,8453	4457836,457	2,5738	2,2955	763,5712	S91	91	Borde	B19	0,447852728	0,390634059	0,927067257	0,150193380	0,008155972	1,585908642	8,20	68,2	38,39376972	49,66337822	11,94285206
GPS0199	10/07/2016 9:59	488514,5519	4457840,324	9,2804	6,162	764,0766	S92	92	Regular	R41	0,336638008	0,427818321	0,391151782	0,080163009	0,005935954	0,960436224	8,19	66,0	38,64643615	50,2871297	11,06643415
GPS0198	10/07/2016 9:58	488513,5755	4457839,665	8,304	5,5031	764,0112	S93	93	Regular	R42	0,501210055	0,633615033	0,538039970	0,121326321	0,007083845	0,946339802	8,24	69,4	37,81438855	49,061278	13,12433345
GPS0197	10/07/2016 9:58	488512,8606	4457839,181	7,5891	5,0191	763,9954	S94	94	Regular	R43	1,274448239	0,711709515	0,951404872	0,161078794	0,009460212	1,113910511	8,01	101,6	35,50829208	51,31429967	13,17740825
GPS0196	10/07/2016 9:58	488511,9662	4457838,523	6,6947	4,361	764,0181	S95	95	Regular	R44	0,833125544	0,537259400	0,344710757	0,050389485	0,009757294	0,993541977	8,15	88,4	33,53441763	51,65422388	14,81135849
GPS0195	10/07/2016 9:57	488511,0833	4457838,093	5,8118	3,9315	763,8329	S96	96	Regular	R45	0,795017604	0,602451568	0,480826443	0,080568524	0,008472153	1,128088553	8,12	125,2	38,09418061	50,59792807	11,30789132
GPS0194	10/07/2016 9:57	488510,3047	4457837,447	5,0332	3,2849	763,9144	S97	97	Regular	R46	1,069344018	0,754196406	0,424092581	0,067915193	0,007074600	1,054533753	8,26	76,0	39,34761128	50,34140492	10,3109838
GPS0193	10/07/2016 9:57	488509,4902	4457836,963	4,2187	2,801	763,8301	S98	98	Regular	R47	0,661582717	0,643090147	0,826201479	0,162011880	0,007461552	1,185278319	8,23	72,2	38,59345343	50,51002853	10,89651804
GPS0192	10/07/2016 9:56	488508,6732	4457836,37	3,4017	2,208	763,7982	S99	99	Regular	R48	0,614141281	0,695165531	1,085458355	0,210725424	0,006633208	1,331236769	8,34	78,6	39,64958252	48,82639012	11,52402736
GPS0201	10/07/2016 10:00	488515,1494	4457840,101	9,8779	5,9388	764,2369	S100	100	Borde	B20	0,364441068	0,557306114	0,409223239	0,085461507	0,009374027	0,781843419	8,38	63,7	34,87222771	51,74527726	13,38249503
GPS0202	10/07/2016 10:00	488514,3327	4457839,596	9,0612	5,434	764,2026	S101	101	Aleatorio	A11	0,467912626	0,379838357	0,251356725	0,044859251	0,008750158	0,960696704	8,31	62,6	38,52092104	49,33965722	12,13942174
