NMuestra	x	y	P	Arenas	Limos	Arcillas	Amonio	Nitrato	SOC	Fosfatasa	Glucosidasa	Potasio	ph	conductividad	x.r	y.r	N	s 	C	H	x0	y0	xrt	yrt
428	488551.1794	4457822.204	0.7616	34.83362035	57.15015832	8.016221321	14.07571573	13.17533154	2.094826486	0.819	0.814	0.01023	7.97	103.7	3.1794	4.2042	0.33	1.45	7.36	0.54	2.1515	3.564	2.231951658	1.768959181
431	488558.685	4457826.927	0.6718	44.67300515	47.03771992	8.289274924	10.77221432	10.81237706	1.85401895	0.896	1.004	0.00995	7.95	109.7	10.685	8.9266	0.36	0.98	10.3	0.23	9.6571	8.287	2.47480862	10.63359571
434	488557.3715	4457826.18	0.5509	43.2967033	48.3028083	8.4004884	11.73960049	6.906347735	1.950983737	0.805	0.963	0.00858	8.21	93.4	9.3715	8.1796	0.39	1.62	10.41	0.43	8.3436	7.54	2.366174919	9.126449414
437	488556.0351	4457825.474	0.8134	44.23786041	49.68901328	6.073126305	19.41772414	11.58880367	2.037140588	1.042	1.299	0.0105	7.3	130.8	8.0351	7.474	0.4	0.86	9.49	0.32	7.0072	6.834000001	2.210728406	7.62304084
440	488554.7423	4457824.662	0.6078	39.64228184	53.6743876	6.683330556	11.853399	8.521250099	1.895196507	0.656	1.073	0.00855	7.39	88.6	6.7423	6.6618	0.38	1.45	9.94	0.55	5.7144	6.022	2.167640534	6.096993896
443	488553.5168	4457823.856	0.4666	39.66522642	51.54224656	8.792527018	12.23705333	11.63207101	2.211932939	1.087	1.455	0.02032	7.15	108.9	5.5168	5.8562	0.32	0.34	9.31	0.56	4.4889	5.216	2.156953721	4.630238278
446	488552.1334	4457823.088	0.4561	37.49361182	53.06077103	9.445617154	18.26905529	9.590032778	2.567276326	1.043	1.385	0.01056	7.02	147.8	4.1334	5.0883	0.41	0.33	9.44	0.58	3.1055	4.448000001	2.026946522	3.053305278
448	488551.2316	4457822.5	0.536	37.47431098	54.42850954	8.097179484	13.27220084	13.81128394	2.065675995	0.823	0.8	0.01	8.12	97.9	3.2316	4.5	0.36	0.29	8.68	0.37	2.2037	3.86	2.014837419	1.976810684
451	488550.1074	4457821.646	0.6607	37.26727394	54.20795379	8.524772273	18.10320358	10.36591443	2.523695652	1.436	1.64	0.01309	7.48	117.8	2.1074	3.6457	0.46	1.32	9.38	0.69	1.0795	3.006	2.100340412	0.567615567
454	488557.3847	4457826.582	0.4538	43.651208	49.3040822	7.044709803	9.868993614	13.15287849	1.928734026	1.06	1.334	0.00846	7.39	96.5	9.3847	8.5815	0.42	0.83	11.22	0.38	8.3568	7.942000001	2.039257662	9.360764047
457	488556.1116	4457825.859	0.3512	43.14862328	49.95945931	6.891917408	13.5865107	6.912411284	1.781938816	0.831	1.151	0.00811	7.56	84.3	8.1116	7.8586	0.39	1.35	10.71	0.53	7.0837	7.219000001	1.933113728	7.900542805
460	488554.7711	4457825.068	0.2772	39.91336702	52.55511745	7.531515522	12.79579192	13.426583	1.895300438	0.915	1.097	0.01426	7.52	113.8	6.7711	7.0682	0.36	0.78	8.99	0.42	5.7432	6.428	1.846064294	6.346501735
463	488553.5109	4457824.227	0.3987	41.35303266	52.77382804	5.873139302	13.72423392	12.46930059	2.18031213	1.162	1.373	0.00975	7.64	110.3	5.5109	6.2269	0.55	1.67	13.78	0.86	4.483	5.587	1.845200631	4.831449164
466	488552.3094	4457823.448	0.5068	43.44034659	48.60364363	7.956009776	11.26018432	7.731327283	2.152705276	0.913	1.088	0.01044	7.83	96.6	4.3094	5.4476	0.39	0.71	8.63	0.54	3.2815	4.808	1.825397824	3.399649213
469	488551.0502	4457822.602	0.2516	46.0324161	54.67078441	-0.703200507	12.91314255	9.161916744	1.875321174	0.771	1.098	0.00763	7.29	104.2	3.0502	4.6024	0.33	0.29	8.27	0.26	2.0223	3.962	1.829247078	1.88265026
475	488557.5295	4457826.943	0.3369	40.97462899	46.59424154	12.43112948	16.44850567	13.61448228	1.864263137	1.004	1.334	0.0087	7.86	90	9.5295	8.9429	0.35	1.33	8.37	0.36	8.5016	8.303	1.819543702	9.681721701
477	488556.671	4457826.429	0.4146	43.25513196	45.73447081	11.01039723	12.52180302	11.69853176	1.848883148	0.814	0.878	0.01138	8.23	83.4	8.671	8.4287	0.43	0.95	11.21	0.34	7.6431	7.789	1.769962038	8.682341939
480	488555.4207	4457825.763	0.3868	40.91540299	46.59445648	12.49014053	14.52322319	11.44107228	2.17773086	0.985	1.724	0.01631	8.15	110.5	7.4207	7.7631	0.42	1.29	9.8	0.51	6.3928	7.123000001	1.629091336	7.272745708
483	488554.089	4457824.89	0.6031	38.81076157	48.66591131	12.52332711	11.024451	9.646625034	1.948434783	0.553	0.633	0.02012	8.24	89	6.089	6.89	0.43	0.85	8.79	0.43	5.0611	6.25	1.615111429	5.680464811
486	488552.8018	4457824.077	0.6045	37.33506597	51.51939224	11.14554178	11.71415198	10.75687169	1.687234127	0.562	0.808	0.00927	8.53	72.6	4.8018	6.0771	0.33	0.5	8.79	0.46	3.7739	5.437	1.57596622	4.158518527
489	488551.5198	4457823.254	0.5322	35.00755455	53.21401591	11.77842954	14.4132825	9.957280579	2.095833004	0.89	1.217	0.00995	8.31	91.8	3.5198	5.2537	0.42	0.62	9.71	0.57	2.4919	4.614	1.548024672	2.635340182
492	488550.2368	4457822.36	0.4291	34.58346757	55.15402646	10.26250597	14.38857281	7.231967079	2.102130435	0.754	0.87	0.00909	8.07	101.7	2.2368	4.3595	0.36	0.47	8.58	0.58	1.2089	3.720000001	1.578561896	1.071884882
495	488557.6332	4457827.243	0.3554	43.64761154	48.61667981	7.735708653	18.47729689	10.66862841	2.071016341	0.871	1.697	0.01079	8.31	119.3	9.6332	9.2426	0.39	0.51	10.82	0.34	8.6053	8.603	1.627715452	9.934616169
496	488557.2077	4457826.998	0.5353	43.30322925	49.67285411	7.023916642	16.37061649	12.89549951	1.958259843	0.815	1.506	0.01256	8.23	87.8	9.2077	8.9984	0.41	0.61	10.54	0.34	8.1798	8.358	1.595030372	9.444711142
498	488556.3578	4457826.505	0.3944	41.09537299	51.26145642	7.643170583	14.04263946	9.933048922	1.976939587	1.166	1.55	0.01656	8.22	104.8	8.3578	8.5053	0.38	0.54	9.82	0.35	7.3299	7.865	1.53276575	8.464148994
501	488555.123	4457825.724	0.4926	42.00395415	48.06068953	9.935356318	16.38274309	11.11371392	2.727694444	1.189	1.521	0.01578	8.21	109.9	7.123	7.724	0.36	0.72	9.59	0.49	6.0951	7.084000001	1.496125393	7.003549965
504	488553.7616	4457824.939	0.5214	38.76170482	51.14354583	10.09474935	19.29549073	12.93204236	2.231242089	1.132	2.047	0.01387	8.17	105.3	5.7616	6.9387	0.4	0.64	9.5	0.6	4.7337	6.299000001	1.392475723	5.435464602
506	488552.9472	4457824.404	0.5146	38.06354849	51.15209421	10.78435729	18.30586937	11.33937071	2.477855727	1.157	2.221	0.01052	7.81	109.1	4.9472	6.4035	0.43	0.58	9.75	0.52	3.9193	5.764	1.384855569	4.461085675
509	488551.7136	4457823.602	0.5134	36.9782814	53.00449925	10.01721935	14.19206003	12.07773477	2.615657165	1.199	1.526	0.01072	8.06	101.8	3.7136	5.6018	0.41	0.52	9.1	0.58	2.6857	4.962	1.366342759	2.989817434
512	488550.4693	4457822.8	0.6142	37.40739507	53.07831573	9.514289205	16.52411049	9.56490857	2.246832347	0.886	1.433	0.00804	8.07	90.5	2.4693	4.7999	0.36	0.43	8.56	0.49	1.4414	4.16	1.341885347	1.509652469
515	488557.5447	4457827.51	0.3255	42.92664504	48.27609188	8.797263074	15.65969808	11.02232092	1.985679746	0.684	0.913	0.01175	7.97	91.9	9.5447	9.51	0.34	0.4	9.8	0.35	8.5168	8.87	1.356545099	10.00936836
518	488556.3904	4457826.794	0.454	40.93928421	49.80894408	9.25177171	12.63039479	11.01627213	2.093695132	0.796	0.944	0.0086	8.15	89.6	8.3904	8.7938	0.34	0.38	9.48	0.31	7.3625	8.154	1.310582622	8.651814701
521	488555.1285	4457826.011	0.4747	38.52877802	52.35910878	9.112113202	17.05137315	10.60682125	1.99907277	0.797	1.323	0.01039	7.85	98.7	7.1285	8.0105	0.38	0.39	9.4	0.32	6.1006	7.371	1.260549251	7.167571704
524	488553.8649	4457825.223	0.5093	38.64022663	52.26573349	9.094039882	18.26633141	9.037511711	2.174179641	0.775	1.387	0.00962	7.96	97.9	5.8649	7.2232	0.37	0.22	9.29	0.31	4.837	6.583000001	1.213728758	5.679137359
527	488552.594	4457824.369	0.6213	38.10957656	51.45276164	10.4376618	15.71492603	10.88130848	2.428191235	0.966	1.794	0.01026	7.45	95.5	4.594	6.3685	0.38	0.24	9.24	0.35	3.5661	5.729	1.217729599	4.147965649
530	488551.3178	4457823.611	0.6929	36.11240698	53.92646895	9.96112407	15.36648203	10.40576947	2.479009471	0.887	1.611	0.00799	8.08	98.5	3.3178	5.6106	0.38	0.81	9.09	0.62	2.2899	4.971	1.138964834	2.665721894
533	488550.0044	4457822.754	0.7015	34.0678625	54.71094574	11.22119176	14.33631061	10.84204785	2.467114014	0.786	1.102	0.00665	7.98	82.5	2.0044	4.7543	0.4	0.64	8.5	0.44	0.9765	4.114	1.121848348	1.097546015
535	488557.6603	4457827.813	0.3935	42.7622296	48.73843146	8.49933894	18.34695281	15.08510298	2.435333598	NA	2.051	0.009	8.05	93.8	9.6603	9.8128	0.39	0.47	10.09	0.41	8.6324	9.173	1.168833726	10.27382403
538	488556.3889	4457827.063	0.4417	41.81533403	47.02072827	11.1639377	15.47982155	10.28157925	2.281202435	0.972	1.714	0.00813	7.84	95.3	8.3889	9.0626	0.38	0.44	9.89	0.3	7.361	8.423	1.086083941	8.800015889
541	488555.0849	4457826.269	0.5895	38.09804161	51.91673239	9.985225998	16.46490089	14.78355022	2.506607284	0.837	1.754	0.00869	7.86	105.1	7.0849	8.2691	0.4	0.35	9.56	0.54	6.057	7.629000001	1.021807228	7.27465675
544	488553.858	4457825.524	0.445	40.70227278	51.246362	8.051365222	14.52322319	10.61241747	2.009267516	0.805	1.223	0.01417	8.23	94.7	5.858	7.5235	0.34	0.35	9.11	0.28	4.8301	6.884000001	0.959622971	5.840626859
547	488552.5286	4457824.626	0.4983	38.78614194	51.79112933	9.422728737	12.86591285	7.743253243	1.913424821	0.6	0.771	0.01397	8.11	80	4.5286	6.6263	0.35	0.31	8.84	0.48	3.5007	5.986	0.967707615	4.236369087
550	488551.1977	4457823.894	0.5485	35.93784708	54.13834466	9.923808254	15.65436807	9.708211239	2.508535912	1.096	1.327	0.00829	8.31	85.5	3.1977	5.894	0.38	0.3	9.03	0.61	2.1698	5.254000001	0.836934948	2.72308877
553	488549.9538	4457823.033	0.38	38.88956776	50.94035704	10.17007521	15.92470419	11.21264162	2.598760921	1.091	1.548	0.01303	8.2	101.5	1.9538	5.0333	0.41	0.34	9.58	0.53	0.9259	4.393	0.861756472	1.210477748
556	488557.302	4457827.863	0.434	42.18822902	46.98171477	10.83005621	18.20203673	15.02172959	1.936254459	0.621	1.247	0.0115	8.22	102.7	9.302	9.863	0.33	0.72	10.1	0.46	8.2741	9.223	0.928199431	10.00368698
559	488556.083	4457827.067	0.4776	40.07709055	47.37625522	12.54665423	17.23765147	14.84867193	2.612247505	0.922	2.076	0.01084	8.11	83	8.083	9.0666	0.37	0.52	10.49	0.6	7.0551	8.427	0.912809128	8.547891615
562	488554.7533	4457826.301	0.3079	38.09481485	49.06396169	12.84122346	18.96703778	12.73087504	2.603330671	1.205	1.809	0.01375	7.94	104.9	6.7533	8.3009	0.37	0.39	9.51	0.53	5.7254	7.661	0.810973112	7.016719673
564	488553.8255	4457825.76	0.6943	42.2543192	44.02422088	13.72145992	NA	NA	2.500707191	1.307	2.617	0.01657	8.09	92.6	5.8255	7.76	0.38	0.38	9.5	0.47	4.7976	7.12	0.74534011	5.944718671
567	488552.6015	4457825.013	0.616	38.10153299	49.60675405	12.29171295	16.05502675	9.436843532	2.522303748	1.116	1.835	0.01401	7.92	92.5	4.6015	7.013	0.48	0.41	10.6	0.52	3.5736	6.373000001	0.686429945	4.511988902
570	488551.3363	4457824.146	0.5977	33.29852007	51.43771388	15.26376605	21.26809106	7.057154703	2.644226928	0.885	1.709	0.01221	7.96	106.8	3.3363	6.1456	0.38	0.35	8.91	0.55	2.3084	5.506	0.704406641	2.978334156
573	488550.074	4457823.349	0.537	32.77137336	50.43535239	16.79327425	14.48909167	10.52810688	2.414089457	0.761	1.353	0.01074	7.76	104.7	2.074	5.3485	0.39	0.37	8.58	0.53	1.0461	4.709000001	0.665791616	1.485980589
576	488557.325	4457828.239	0.4317	38.70143717	49.07927764	12.21928519	15.01035099	10.30144401	1.927178159	0.727	1.245	0.01221	7.84	96.5	9.325	10.2391	0.35	0.32	9.47	0.3	8.2971	9.599	0.628344972	10.23170519
579	488556.0783	4457827.428	0.2645	37.10619862	50.26549656	12.62830482	18.35411075	10.18521739	2.192668785	0.964	1.428	0.00941	7.65	93	8.0783	9.428	0.44	0.42	11.95	0.39	7.0504	8.788000001	0.610037417	8.744544563
582	488554.7712	4457826.655	0.5746	36.36888825	49.95722745	13.6738843	19.57739156	7.873908843	1.982410072	0.697	1.548	0.01127	7.83	99.8	6.7712	8.6551	0.38	0.88	9.72	0.57	5.7433	8.015000001	0.526577576	7.228274843
585	488553.4688	4457825.868	0.5083	37.5195779	47.55456818	14.92585393	23.20866265	12.19458269	2.928805257	1.408	2.574	0.0189	7.99	128.2	5.4688	7.8684	0.42	0.88	9.69	0.55	4.4409	7.228	0.45736949	5.708135046
588	488552.2011	4457825.109	0.7827	37.89686507	48.83467751	13.26845742	17.38119603	9.808734832	2.562532493	0.994	2.01	0.02186	7.91	117.8	4.2011	7.1085	0.44	0.81	10.09	0.68	3.1732	6.469000001	0.384158541	4.232403212
591	488550.9118	4457824.238	0.6487	35.79244382	48.0754063	16.13214988	16.69214117	9.243899348	2.268749505	1.025	1.239	0.00888	8.17	120.1	2.9118	6.2382	0.4	0.65	8.85	0.63	1.8839	5.598	0.392071872	2.676487767
593	488550.0955	4457823.662	0.6162	37.9532456	49.38752846	12.65922594	24.844831	7.309565552	2.569467875	1.375	1.658	0.01063	8.23	96.9	2.0955	5.6617	0.4	0.47	8.83	0.52	1.0676	5.022	0.417486388	1.677750668
596	488557.4713	4457828.552	0.5581	41.48048572	45.21336281	13.30615147	16.73565248	11.2403587	2.305449461	0.987	1.698	0.01041	8.13	97.1	9.4713	10.5515	0.37	0.39	9.75	0.34	8.4434	9.912	0.449374908	10.52724267
599	488556.2051	4457827.736	0.6335	39.82759004	47.21389056	12.95851941	19.90429594	15.43019518	2.923059613	1.214	2.188	0.01049	8.05	107.5	8.2051	9.7355	0.44	0.36	10.24	0.65	7.1772	9.096	0.424391083	9.021090541
602	488554.9254	4457826.945	0.4781	38.807794	47.30498345	13.88722256	16.8774746	10.08897947	2.300322196	0.955	1.819	0.00978	8.17	111.1	6.9254	8.9446	0.36	0.27	9.46	0.52	5.8975	8.305000001	0.371120318	7.517602824
605	488553.5336	4457826.228	0.511	37.9457838	49.66781469	12.38640151	15.16151918	9.879437392	2.027630952	0.616	1.514	0.01222	8.01	112.6	5.5336	8.228	0.36	0.26	9.02	0.41	4.5057	7.588	0.194041381	5.96201956
608	488552.248	4457825.397	0.5419	40.0104405	46.73234556	13.25721394	15.28838	10.36225501	2.43460261	1.169	1.579	0.01268	7.98	120.9	4.248	7.3968	0.43	0.64	10.82	0.71	3.2201	6.757	0.170751537	4.431403363
611	488550.9769	4457824.569	0.5899	37.82657958	50.02665956	12.14676086	17.05307769	9.57499589	2.233174414	0.917	1.431	0.00984	8.14	109.7	2.9769	6.5689	0.36	0.39	8.65	0.63	1.949	5.929	0.153023053	2.914510186
