NMuestra	x	y	P	Arenas	Limos	Arcillas	Amonio	Nitrato	SOC	Fosfatasa	Glucosidasa	Potasio	ph	conductividad	x.r	y.r	N	s 	C	H	x0	y0	xrt	yrt
174	488555.5398	4457821.376	0.6519	39.74101263	51.61867108	8.640316293	16.47960057	3.907714553	1.627269885	0.697	0.776	0.0107	7.18	115.6	7.5398	3.3758	0.4	0.8	11.39	0.2	6.5119	2.736	5.342916941	4.934487126
177	488554.2908	4457820.645	0.6415	40.31883575	51.52363495	8.157529301	18.86204256	6.56593247	1.461087525	0.761	0.719	0.00977	7.51	113.1	6.2908	2.6448	0.33	0.81	9.03	0.26	5.2629	2.005	5.256814007	3.48985974
180	488553.0638	4457819.909	0.6432	42.65285941	48.98723348	8.359907112	21.60577325	4.205151811	1.8666136	0.774	1.151	0.01128	7.42	123.1	5.0638	1.9092	0.44	0.66	9.15	0.21	4.0359	1.269	5.187090965	2.060746834
183	488560.3328	4457824.562	0.4583	50.90032547	43.56997656	5.529697966	24.65289838	6.827907051	1.779138933	0.671	1.362	0.01101	8.29	144.9	12.3328	6.5623	0.4	1.08	10.38	0.28	11.3049	5.922	5.356702883	10.68976774
186	488559.0788	4457823.818	0.5447	47.47753052	45.02227506	7.500194421	24.22549218	10.4588013	2.217280064	0.841	1.812	0.01365	8.35	95.8	11.0788	5.8176	0.46	0.88	11.64	0.2	10.0509	5.178	5.278631203	9.233760593
188	488558.2305	4457823.314	0.418	44.42148531	49.56285064	6.015664056	24.22751494	5.897700446	1.383711155	0.571	1.037	0.01076	8.3	102.4	10.2305	5.3136	0.38	1.38	10	0.29	9.2026	4.674000001	5.226401658	8.248417524
191	488556.9575	4457822.562	0.7285	43.25660453	48.21694403	8.526451441	24.16190324	7.210329062	2.249589733	1.002	1.676	0.00958	7.84	108.3	8.9575	4.5624	0.47	1.12	12.09	0.24	7.9296	3.922	5.1444259	6.772167892
194	488555.6785	4457821.773	0.4918	41.02421684	51.39857809	7.577205066	20.70893737	4.710203236	1.6298092	0.688	0.759	0.0163	7.89	95.4	7.6785	3.7732	0.37	1.26	9.61	0.29	6.6506	3.133	5.089881096	5.270373344
197	488554.3484	4457820.981	0.7427	35.4033817	55.90463706	8.691981247	18.40150826	4.322576515	1.622023487	0.609	0.638	0.01137	7.44	84	6.3484	2.9813	0.39	0.93	9.26	0.22	5.3205	2.341	5.009441062	3.724423988
200	488553.1278	4457820.204	0.5158	39.88074087	49.51474638	10.60451275	20.20960585	8.196981899	1.977005194	0.763	0.883	0.01037	7.17	87.6	5.1278	2.2036	0.37	0.91	9.27	0.36	4.0999	1.564	4.977363925	2.277854108
203	488551.8864	4457819.361	0.6038	40.05354009	49.18912314	10.75733677	22.07666665	4.623327182	2.013284	1.095	1.22	0.01336	7.63	106.7	3.8864	1.3608	0.41	0.69	9.24	0.23	2.8585	0.721	4.988607921	0.777322025
206	488559.1173	4457824.149	0.4582	46.41789884	44.38383861	9.19826255	26.88497398	15.21756773	1.948238342	0.741	0.986	0.01076	7.91	125.7	11.1173	6.1485	0.36	1.32	10.09	0.26	10.0894	5.509000001	5.024804214	9.449665921
209	488557.8815	4457823.437	0.5758	40.59067231	49.72287939	9.686448302	24.37381652	8.257039084	2.229497407	0.65	1.018	0.00815	7.52	101.7	9.8815	5.4366	0.39	1.02	9.8	0.17	8.8536	4.797	4.930236885	8.026569767
212	488556.6118	4457822.624	0.4133	41.36471686	47.89060938	10.74467376	18.01714113	3.664216026	1.964016032	0.731	1.131	0.00912	7.74	105.7	8.6118	4.6244	0.34	1.37	9.6	0.3	7.5839	3.984	4.900814155	6.519174201
215	488555.3407	4457821.823	0.5824	38.2970451	51.24638969	10.45656521	21.89817519	5.889435292	1.951501394	0.632	0.826	0.0096	8.05	101.1	7.3407	3.8228	0.41	0.85	10.58	0.18	6.3128	3.183	4.860635991	5.01728142
217	488554.4823	4457821.275	0.5607	39.0559561	50.33493673	10.60910717	23.96603481	4.401766292	1.939554495	1.261	1.416	0.0085	7.16	126.1	6.4823	3.2753	0.36	1.19	9.42	0.33	5.4544	2.635000001	4.83937985	3.999095418
220	488553.2367	4457820.517	0.4421	39.02539266	52.09495035	8.879656988	21.66174586	3.664917774	1.885729167	0.57	0.73	0.00702	7.83	87.7	5.2367	2.5165	0.36	0.67	8.78	0.16	4.2088	1.877	4.777615534	2.542294632
223	488551.9208	4457819.645	0.476	39.07851914	50.22603828	10.69544258	19.26230968	5.409791105	2.708584566	0.979	1.161	0.01095	7.83	87.7	3.9208	1.6452	0.39	1.09	9.47	0.38	2.8929	1.005	4.771582167	0.963706526
226	488559.7569	4457824.733	0.5387	47.00830963	45.50079986	7.490890508	22.34684175	6.507248306	2.043117247	0.673	1.457	0.01348	7.08	102.7	11.7569	6.7331	0.35	0.72	10.01	0.15	10.729	6.093	4.894568682	10.3059269
229	488558.4365	4457823.974	0.3324	41.48812102	47.53034998	10.98152899	21.724787	7.390084219	1.7072502	0.76	0.916	0.00845	7.57	77.4	10.4365	5.9737	0.38	1.53	11.08	0.31	9.4086	5.334000001	4.792079182	8.786376618
232	488557.0769	4457823.24	0.3403	40.65586154	48.68416668	10.65997178	22.98117949	13.49289342	1.749976096	0.629	0.702	0.00809	7.58	97.5	9.0769	5.2401	0.38	1.07	9.48	0.21	8.049	4.600000001	4.647024588	7.248121982
235	488555.8166	4457822.426	0.3331	43.7097939	42.10654964	14.18365646	37.28888091	13.46627505	3.065148118	1.595	1.725	0.01539	7.35	129.8	7.8166	4.4262	0.45	1.13	10.68	0.47	6.7887	3.786	4.623655689	5.747986659
238	488554.597	4457821.607	0.5536	38.15359659	50.36332526	11.48307815	22.5290132	10.45647269	1.91070008	1.062	0.864	0.00798	8.04	98.8	6.597	3.6069	0.45	0.86	12.09	0.42	5.5691	2.967	4.627055845	4.278914299
241	488553.3054	4457820.837	0.6747	38.63608597	50.77358805	10.59032598	20.24575883	5.494777451	2.407889467	0.749	1.159	0.00703	8.83	84	5.3054	2.8372	0.4	1.22	8.91	0.37	4.2775	2.197000001	4.549712933	2.777199069
244	488552.0018	4457819.841	0.6695	39.27302208	49.32033228	11.40664564	20.56363816	3.547461825	2.769025743	1.012	1.455	0.01086	7.16	94.2	4.0018	1.8414	0.51	0.83	9.93	0.26	2.9739	1.201	4.653615312	1.13994733
246	488559.7629	4457825.081	0.6575	45.85462301	45.1715022	8.973874795	20.9981274	5.356962339	2.364420464	0.704	1.342	0.01203	7.62	114.7	11.7629	7.0813	0.4	1.29	10.22	0.3	10.735	6.441000001	4.608550678	10.50425416
249	488558.483	4457824.33	0.7122	43.65461937	46.81287069	9.532509941	19.88200187	4.899828233	2.057939082	0.672	0.972	0.0071	7.73	92.1	10.483	6.3297	0.37	0.91	9.74	0.2	9.4551	5.69	4.521910016	9.022822957
252	488557.168	4457823.591	0.5314	41.11203688	47.11770261	11.77026051	19.26897477	3.445256637	2.200552025	0.959	1.453	0.01435	7.85	115.7	9.168	5.5912	0.36	1.2	9.64	0.35	8.1401	4.951	4.405791203	7.518874015
255	488555.9068	4457822.77	0.6384	42.01792676	44.6825053	13.29956794	25.12009129	8.07015105	3.139884185	1.329	1.699	0.01227	7.91	131.8	7.9068	4.7702	0.45	0.88	10.26	0.22	6.8789	4.13	4.387742577	6.014101378
258	488554.6344	4457821.964	0.5452	39.73423108	49.27391309	10.99185583	NA	NA	2.141286456	0.747	0.751	0.00698	8.28	83.6	6.6344	3.9641	0.38	1.1	9.23	0.32	5.6065	3.324	4.35099952	4.508349836
261	488553.3212	4457821.126	0.5659	38.90827074	51.34549576	9.746233501	20.32601344	2.510661487	1.883343949	0.604	0.779	0.00715	7.25	79.5	5.3212	3.1259	0.41	0.74	8.9	0.22	4.2933	2.486	4.318196225	2.950896086
264	488552.1052	4457820.325	0.7554	39.73783604	47.02843812	13.23372584	28.62658187	4.913546297	3.305743752	1.653	1.705	0.0146	7.48	111.3	4.1052	2.3254	0.46	1.11	9.88	0.43	3.0773	1.685000001	4.308629981	1.494817281
267	488559.4079	4457825.075	0.2982	47.46628752	43.72847844	8.805234043	20.31174042	1.82372159	2.08863564	0.558	0.834	0.00805	7.16	90.2	11.4079	7.0749	0.35	0.69	9.8	0.2	10.38	6.435000001	4.416312063	10.20574903
270	488558.1017	4457824.425	0.6782	42.58055917	44.98317172	12.43626912	22.80995749	2.394862425	2.11544511	1.163	1.087	0.01333	7.13	133.6	10.1017	6.4254	0.39	1.23	10.76	0.37	9.0738	5.785	4.231081473	8.758562766
273	488556.8328	4457823.632	0.6394	37.22180865	49.30278552	13.47540583	19.60671551	4.166852355	2.198369781	0.725	0.961	0.00974	7.72	106.4	8.8328	5.6321	0.39	0.9	9.42	0.21	7.8049	4.992000001	4.185473806	7.262943781
275	488555.9833	4457823.122	0.6809	36.78579761	50.86487507	12.34932732	14.20936122	11.2033435	2.670031759	1.582	1.104	0.00936	6.98	124.5	7.9833	5.1216	0.4	1.06	9.6	0.36	6.9554	4.482000001	4.137566396	6.273269526
278	488554.7912	4457822.375	0.7805	41.81097202	49.10639905	9.082628931	19.53047876	16.37217032	2.6416786	1.563	1.543	0.01489	7.68	116.5	6.7912	4.3749	0.44	0.81	9.62	0.24	5.7633	3.735	4.096378922	4.867063637
281	488553.4877	4457821.529	0.5549	35.88493364	52.32520686	11.7898595	14.06517893	10.11403025	2.230904	0.921	1.042	0.00914	7.99	110.6	5.4877	3.5294	0.39	0.98	8.65	0.41	4.4598	2.889	4.075616415	3.31323058
284	488552.1967	4457820.712	0.4652	34.7406889	53.25735613	12.00195497	13.24678691	9.9397594	2.469637161	0.959	1.389	0.00831	7.57	101.7	4.1967	2.7116	0.44	0.72	11.28	0.48	3.1688	2.072000001	4.037685917	1.785902431
287	488559.483	4457825.423	0.7736	43.04821151	48.68362586	8.268162631	12.47872506	11.55210472	2.282274181	0.945	1.242	0.01075	7.58	108.4	11.483	7.4231	0.37	1.03	9.99	0.3	10.4551	6.783000001	4.168683962	10.46153083
293	488556.8821	4457824.001	0.7331	40.43888889	48.22888889	11.33222222	8.553892543	11.39972809	1.634632499	0.528	0.602	0.00956	7.17	104.5	8.8821	6.0011	0.35	0.68	9.34	0.19	7.8542	5.361	3.906051133	7.508940648
296	488555.6107	4457823.199	0.4975	39.16443576	50.12052475	10.71503949	13.62871508	8.521765974	2.002041467	0.601	0.594	0.00891	7.61	115.6	7.6107	5.1989	0.36	0.94	9.05	0.29	6.5828	4.559	3.866537767	6.006242856
299	488554.3455	4457822.427	0.6386	33.8117668	55.77786171	10.41037149	23.26122256	11.41799757	1.854112743	0.617	0.596	0.01133	8.3	147.9	6.3455	4.4268	0.44	0.76	8.98	0.21	5.3176	3.787	3.805524849	4.525367283
302	488553.0659	4457821.615	0.3473	37.45750283	51.53323112	11.00926605	15.29454952	10.31309227	2.070091306	0.886	1.024	0.00915	7.66	92.3	5.0659	3.6154	0.37	0.98	8.68	0.35	4.038	2.975000001	3.769770504	3.010295738
304	488552.2526	4457821.067	0.6374	36.23173915	48.8507471	14.91751375	14.15710218	8.574701371	2.150298211	0.874	0.856	0.00696	7.16	95.3	4.2526	3.0669	0.41	0.61	8.53	0.24	3.2247	2.427	3.773570581	2.029609014
307	488559.5221	4457825.771	0.5653	46.19905129	42.73192841	11.0690203	12.51246411	9.605946854	2.153723616	1.136	1.142	0.00758	8.03	101.2	11.5221	7.7711	0.35	1.01	10.02	0.27	10.4942	7.131	3.901055334	10.68737974
310	488558.189	4457825.06	0.5071	43.08346943	44.61664945	12.29988112	12.70272264	11.63559083	1.645173653	0.749	0.924	0.00812	7.9	110.7	10.189	7.0603	0.38	0.73	9.63	0.18	9.1611	6.42	3.751599551	9.183937161
313	488557.0177	4457824.395	0.5307	40.32501722	43.97063071	15.70435208	11.64226443	7.686125831	1.744505364	0.645	0.624	0.00673	7.57	109.4	9.0177	6.3953	0.35	1.2	90.01	0.28	7.9898	5.755	3.653787429	7.840582599
316	488555.6372	4457823.587	0.6341	40.58223743	46.9333126	12.48444997	10.93322755	5.482681998	1.711408	0.866	0.832	0.00645	7.95	91	7.6372	5.5865	0.41	0.7	9.13	0.21	6.6093	4.947000001	3.558650168	6.243838052
319	488554.4211	4457822.812	0.7864	37.42696554	48.68926754	13.88376691	12.89711332	6.247531565	2.224095427	0.791	0.815	0.00788	7.96	104.6	6.4211	4.8121	0.35	0.91	8.62	0.39	5.3932	4.172	3.527410158	4.802120925
322	488553.5533	4457822.193	0.3012	37.31880436	47.88008042	14.80111522	14.51599123	6.491020276	1.884490611	0.841	0.922	0.00888	7.58	99.9	5.5533	4.1932	0.38	0.66	8.76	0.28	4.5254	3.553	3.559966	3.736673621
325	488552.2288	4457821.347	0.3037	36.23346182	50.5859874	13.18055077	14.69156261	8.626451267	2.151348763	0.819	0.878	0.0075	7.75	108	4.2288	3.3465	0.37	0.99	8.11	0.39	3.2009	2.707	3.527536518	2.165379703
328	488550.9484	4457820.517	0.868	39.60901922	44.43518827	15.95579251	20.21290549	11.04839261	3.76457417	1.819	2.373	0.01348	7.32	183.2	2.9484	2.5172	0.51	0.66	10.11	0.53	1.9205	1.877	3.50630417	0.639642718
331	488558.3654	4457825.419	0.5036	40.59323446	22.19074599	37.21601955	12.30840603	7.135660643	1.323164203	0.557	0.619	0.00837	8.2	95.2	10.3654	7.4194	0.33	1.09	9.74	0.27	9.3375	6.779	3.551104549	9.530058115
333	488557.3731	4457824.92	0.3643	44.48221467	45.67753116	9.840254171	10.85877246	8.988387517	1.756227616	0.478	0.619	0.00827	8.33	101.9	9.3731	6.9202	0.36	0.84	9.49	0.21	8.3452	6.28	3.414715543	8.427761272
336	488556.1799	4457824.129	0.4509	43.1587134	46.1574357	10.6838509	11.60279585	9.704911777	1.878474374	0.671	1.045	0.00844	8.3	99.6	8.1799	6.1291	0.34	0.93	9.22	0.32	7.152	5.489	3.409501605	6.996195676
339	488554.8608	4457823.402	0.5594	40.94110329	50.17329097	8.885605741	14.65639676	10.30447278	1.724206317	0.663	0.907	0.00725	8.19	99	6.8608	5.4021	0.36	0.62	8.85	0.2	5.8329	4.762	3.281127318	5.495504551
342	488553.6545	4457822.573	0.327	38.82303274	49.37952028	11.79744698	14.5231699	10.4198985	1.814816	0.751	0.785	0.00895	8.21	80.2	5.6545	4.5729	0.34	1.1	8.66	0.37	4.6266	3.933	3.300231255	4.031935035
345	488552.3726	4457821.784	0.6108	38.54032437	51.02643857	10.43323706	13.81573761	11.49094737	2.119618594	0.806	0.861	0.00657	7.92	86.9	4.3726	3.7837	0.37	1.45	8.52	0.5	3.3447	3.144	3.244075297	2.527729225
348	488551.0366	4457820.895	0.6822	36.64645253	50.00111067	13.3524368	15.25246816	9.643711645	2.596409849	0.902	1.624	0.01327	7.86	114.4	3.0366	2.8947	0.45	0.84	10	0.61	2.0087	2.255	3.241009951	0.922983886
351	488558.434	4457825.689	0.3233	44.51640136	46.57476423	8.908834409	8.36712295	8.856330145	1.6291112	0.535	0.498	0.00538	7.91	89.8	10.434	7.6888	0.37	0.59	9.75	0.16	9.4061	7.049000001	3.364719871	9.737100893
354	488557.0643	4457824.92	0.3845	44.75745087	45.86050232	9.38204681	13.30858872	9.174861816	1.902453056	0.724	0.816	0.00712	7.88	121.6	9.0643	6.92	0.36	1.38	9.65	0.33	8.0364	6.28	3.243155455	8.171003456
357	488555.8098	4457824.195	0.4192	40.70227278	49.78449712	9.513230099	16.13998141	2.297262173	1.609908403	0.797	0.906	0.00868	7.97	118.3	7.8098	6.1947	0.38	0.77	9.35	0.23	6.7819	5.555000001	3.149008066	6.725136409
360	488554.4621	4457823.43	0.6209	41.49218585	49.93391018	8.573903964	19.08949593	11.09204263	1.683085532	0.713	0.821	0.00635	7.52	106	6.4621	5.4298	0.33	1.19	9.26	0.48	5.4342	4.79	3.036340317	5.179553583
362	488553.6455	4457822.898	0.6339	38.02763707	51.51626233	10.4561006	16.76996044	9.618590943	1.836561375	0.739	0.759	0.00549	7.73	109.6	5.6455	4.8983	0.39	0.78	8.81	0.41	4.6176	4.258	3.025003499	4.205012134
364	488552.3566	4457822.077	0.3409	38.16384338	50.49264093	11.34351569	16.06912408	10.25284707	2.213189448	1.035	1.488	0.01193	7.91	108.8	4.3566	4.0771	0.4	1.43	8.96	0.57	3.3287	3.437	2.991565577	2.677207789
367	488551.0673	4457821.187	0.8142	35.70849303	50.45381325	13.83769372	13.7488618	8.528051679	2.132556841	0.819	0.804	0.00882	8.07	102.7	3.0673	3.187	0.39	0.77	8.89	0.39	2.0394	2.547	3.015276831	1.110736511
370	488558.4295	4457826.014	0.5394	44.82161105	46.12453903	9.053849913	9.569670683	10.50970552	1.363579704	0.41	0.75	0.00712	8.09	105.6	10.4295	8.0142	0.4	1.4	10	0.31	9.4016	7.374000001	3.091992181	9.913919606
373	488557.1635	4457825.338	0.4094	40.54198193	48.41283068	11.04518738	15.48242169	5.813061543	1.874011976	0.846	0.944	0.00918	8.19	106.2	9.1635	7.3379	0.41	0.87	9.71	0.23	8.1356	6.698000001	2.950713724	8.485713599
376	488555.8743	4457824.492	0.4895	40.79369841	48.61736049	10.58894111	11.71266791	7.880868655	1.805427776	0.88	1.003	0.00822	8.11	100	7.8743	6.4919	0.46	0.3	10.37	0.93	6.8464	5.852	2.937895872	6.943770557
379	488554.6135	4457823.728	0.6733	40.5442328	47.66812906	11.78763814	11.42800353	7.785328539	1.825383387	0.82	1.15	0.00699	8.23	73.8	6.6135	5.7278	0.36	0.21	9.54	0.49	5.5856	5.088	2.872675706	5.470998012
382	488553.3137	4457822.932	0.7802	40.10328743	49.8289649	10.06774767	15.17350702	13.94994574	1.770103751	0.776	1.008	0.00642	8.2	76.6	5.3137	4.9318	0.42	1.3	10.71	0.51	4.2858	4.292	2.812395329	3.948019905
385	488552.0388	4457822.121	0.8471	40.04132553	48.27532577	11.6833487	16.61811897	12.91445351	2.075099761	0.932	1.158	0.0124	7.77	101.6	4.0388	4.121	0.37	0.6	8.09	0.31	3.0109	3.481000001	2.778420693	2.437411837
388	488550.7324	4457821.259	0.6823	34.09196934	52.17038765	13.73764301	13.93697262	9.96953119	2.525440127	1.152	1.61	0.01005	7.81	106.6	2.7324	3.2587	0.42	1.48	9.55	0.64	1.7045	2.619	2.769350548	0.872278394
390	488558.9744	4457826.505	0.7491	45.25803657	45.2658121	9.476151334	12.75848	13.1523051	1.59323741	0.851	1.247	0.00729	8.1	87.1	10.9744	8.5049	0.33	0.66	10	0.19	9.9465	7.865	2.986470822	10.63977238
393	488557.6882	4457825.837	0.5291	43.09722423	45.01105199	11.89172378	13.09361889	10.66329758	1.84407511	1.063	1.322	0.00635	7.98	108.3	9.6882	7.8369	0.33	1.14	8.76	0.28	8.6603	7.197000001	2.827318088	9.199215251
396	488556.4225	4457825.148	0.6802	41.64417042	46.74776426	11.60806532	14.58994917	10.41534976	1.631061453	0.879	1.181	0.00822	7.82	82.7	8.4225	7.1481	0.41	0.79	11.47	0.33	7.3946	6.508	2.697015408	7.764036272
399	488555.107	4457824.347	0.6116	40.29189297	47.55367476	12.15443226	13.34815264	11.21605975	1.517114388	0.859	1.123	0.00717	7.41	94.5	7.107	6.347	0.36	1.27	10.3	0.54	6.0791	5.707	2.632169926	6.22522624
402	488553.8175	4457823.519	0.556	40.52048739	47.33702836	12.14248426	14.10309902	10.61133032	1.867288676	1.137	1.726	0.02704	7.48	257	5.8175	5.5191	0.36	0.71	8.88	0.38	4.7896	4.879000001	2.604218949	4.693034023
405	488552.4703	4457822.74	0.6306	36.11808348	50.68193429	13.19998223	12.97059744	9.898239499	1.9452	0.922	0.899	0.01004	7.63	116.2	4.4703	4.7403	0.35	1.52	8.28	0.44	3.4424	4.100000001	2.503469559	3.140088949
408	488551.2128	4457821.921	0.8319	37.12276882	50.81138719	12.06584399	13.95671475	16.19121823	2.511819992	0.818	1.358	0.01108	7.54	113	3.2128	3.9211	0.42	0.83	8.8	0.41	2.1849	3.281	2.485813604	1.63950389
411	488558.519	4457826.603	0.748	37.27781728	48.61246889	14.10971383	11.36037762	11.18428427	1.803894863	0.715	1.122	0.01449	7.76	88.6	10.519	8.6033	0.32	1.23	10.02	0.3	9.4911	7.963	2.651980116	10.315567
414	488557.2654	4457825.892	0.6147	32.94784203	48.72632339	18.32583458	10.48184178	9.81264553	1.613566322	0.883	0.976	0.01239	7.62	103.4	9.2654	7.892	0.32	0.69	9.03	0.16	8.2375	7.252	2.546692166	8.878226261
417	488555.9392	4457825.153	0.5402	41.42171566	52.72834322	5.849941123	15.4354311	15.18891158	1.610563549	0.742	0.869	0.00725	7.81	102.6	7.9392	7.1532	0.36	1.35	9.61	0.38	6.9113	6.513	2.424350967	7.364964859
419	488555.1223	4457824.632	0.5728	41.74128469	45.92507832	12.33363699	18.77292885	23.06562839	2.044693069	1.311	1.442	0.00981	7.74	116.4	7.1223	6.6318	0.43	0.84	10.24	0.42	6.0944	5.992000001	2.40370131	6.396285242
422	488553.775	4457823.81	0.3382	40.51667648	51.84757378	7.635749747	14.36704914	11.39306712	2.179282316	0.918	1.236	0.01331	7.89	111.5	5.775	5.8098	0.37	1.62	8.85	0.49	4.7471	5.17	2.338649558	4.819367501
425	488552.4588	4457823.031	0.3902	39.24541295	53.1254165	7.629170554	14.15498591	13.04380159	2.148152866	0.931	1.234	0.01106	7.99	107.1	4.4588	5.0308	0.42	1.08	9.69	0.49	3.4309	4.391000001	2.255122844	3.292197987
